Date,Close,Volume,Open,High,Low
2025-08-13,224.56,36508340,$222.00,$224.9185,$222.00
2025-08-14,230.98,61545820,$227.40,$233.11,$227.02
2025-08-15,231.03,39649240,$232.58,$234.08,$229.807
2025-08-18,231.49,25248890,$230.225,$231.91,$228.33
2025-08-19,228.01,29891010,$230.09,$230.5283,$227.12
2025-08-20,223.81,36604320,$227.12,$227.27,$220.915
2025-08-21,221.95,32140460,$222.65,$222.78,$220.50
2025-08-22,228.84,37315340,$222.79,$229.14,$220.82
2025-08-25,227.94,22633700,$227.35,$229.60,$227.31
2025-08-26,228.71,26105370,$227.11,$229.00,$226.02
2025-08-27,229.12,21254480,$228.57,$229.87,$227.81
2025-08-28,231.6,33679590,$229.005,$232.71,$228.02
2025-08-29,229.0,26199170,$231.32,$231.8125,$228.16
2025-09-02,225.34,38843880,$223.52,$226.17,$221.83
2025-09-03,225.99,29223130,$225.21,$227.1699,$224.36
2025-09-04,235.68,59391780,$231.185,$235.77,$230.78
2025-09-05,232.33,36721800,$235.19,$236.00,$231.93
2025-09-08,235.84,33947100,$234.94,$237.60,$233.75
2025-09-09,238.24,27033780,$236.355,$238.85,$235.08
2025-09-10,230.33,60907710,$237.515,$237.68,$229.0962
2025-09-11,229.95,37485600,$231.49,$231.53,$229.3377
2025-09-12,228.15,38496220,$230.35,$230.79,$226.29
2025-09-15,231.43,33243330,$230.625,$233.73,$230.32
2025-09-16,234.05,38203910,$232.935,$235.90,$232.23
2025-09-17,231.62,42815230,$233.77,$234.30,$228.71
2025-09-18,231.23,37931740,$232.50,$233.48,$228.79
2025-09-19,231.48,97943170,$232.37,$234.16,$229.70
2025-09-22,227.63,45914510,$230.56,$230.565,$227.51
2025-09-23,220.71,70956190,$227.83,$227.86,$220.07
2025-09-24,220.21,49509030,$224.15,$224.56,$219.45
2025-09-25,218.15,52226330,$220.06,$220.67,$216.47
2025-09-26,219.78,41650100,$219.08,$221.05,$218.02
2025-09-29,222.17,44259180,$220.08,$222.60,$219.30
2025-09-30,219.57,48396370,$222.03,$222.24,$217.89
2025-10-01,220.63,43933830,$217.36,$222.15,$216.61
2025-10-02,222.41,41258590,$221.01,$222.81,$218.945
2025-10-03,219.51,43639030,$223.44,$224.20,$219.34
2025-10-06,220.9,43690880,$221.00,$221.73,$216.03
2025-10-07,221.78,31194680,$220.88,$222.89,$220.17
2025-10-08,225.22,46685990,$222.92,$226.73,$221.19
2025-10-09,227.74,46412120,$224.995,$228.21,$221.75
2025-10-10,216.37,72367510,$226.21,$228.25,$216.00
2025-10-13,220.07,37809650,$217.70,$220.68,$217.04
2025-10-14,216.39,45665580,$215.555,$219.32,$212.60
2025-10-15,215.57,45909470,$216.62,$217.71,$212.66
2025-10-16,214.47,42414590,$215.67,$218.59,$212.8101
2025-10-17,213.04,45986940,$214.56,$214.80,$211.03
2025-10-20,216.48,38882820,$213.88,$216.69,$213.59
